"","team","mean.kill","mean.death","mean.adr","mean.kast","mean.rating"
"1","-0_o-",22,35.2,64.3,56.18,0.692
"2","/dab/",19.0666666666667,18.5333333333333,79.3933333333333,70.6666666666667,1.128
"3",":thinking:",51,55.6,73.12,64.64,0.996
"4","100 Thieves",42.88,41.8648275862069,74.583724137931,71.811724137931,1.07885517241379
"5","100PG",40.0666666666667,41.9407407407407,72.4125925925926,67.72,1.00918518518519
"6","1337HUANIA",50.2965517241379,48.351724137931,75.5537931034483,70.4144827586207,1.05827586206897
"7","13th Hour",22.4,40,60.28,50.22,0.628
"8","140 Years of Exp",20.4666666666667,30.3333333333333,60.6333333333333,52.96,0.714
"9","16yotalents",41,39.8,75.84,70.68,1.07
"10","1820HT",41.04,47.88,69.776,65.696,0.926
"11","1ADL",54.52,52.12,76.964,71.516,1.0804
"12","1hp",21,25.72,72.168,67.368,0.9372
"13","1WIN",42.5579268292683,42.1341463414634,73.919512195122,70.690243902439,1.05033536585366
"14","2019",40.93,41.37,71.861,67.367,1.0036
"15","2115",41.2444444444444,46.5111111111111,69.3288888888889,64.7244444444444,0.939777777777778
"16","2333",40.4,42.5,73.8,67.34,1.02
"17","24BHB",31.8142857142857,36.3571428571429,71.0042857142857,66.0028571428571,0.939142857142857
"18","24SJU",16.5,13.1,84.64,76.09,1.252
"19","26 Rising",31.8,40,68.58,69.04,0.906
"20","2990",38.6425531914894,42.136170212766,72.0012765957447,66.4165957446808,0.978936170212766
"21","2anosOLD",17.2,18.8,70.17,70.4,0.971
"22","2Be Continued",27.5,37.2,66.54,58.58,0.821
"23","2BYL9",41.725,48.1,69.3025,65.195,0.92025
"24","2ez",36.4666666666667,38.5481481481482,72.9059259259259,69.3125925925926,1.02688888888889
"25","2K",35.64,30.52,80.188,72.188,1.156
"26","3 Canadians 2 Americans",25.05,25.75,75.985,71.875,1.0835
"27","30.6",39.68,46.28,70.576,64.448,0.8956
"28","3DMAX",37.2853285328533,35.5301530153015,75.7499549954996,70.9537353735374,1.09630063006301
"29","3era",36.3,35.9,76.23,70.01,1.083
"30","3xTeam",44.8,52.56,67.744,63.3,0.9144
"31","4Bowie",14.5333333333333,19,66.2566666666667,58.4533333333333,0.840666666666667
"32","4glory",48.387323943662,52.7464788732394,70.819014084507,67.2049295774648,0.977394366197183
"33","4ucToHano6egky",45.4,48.2,74.86,71.34,1.052
"34","4US",31.3555555555556,35.0666666666667,70.5888888888889,67.8577777777778,0.961111111111111
"35","5 Monkeys",19.6,34.4,61.48,57.36,0.65
"36","5balls",22.9636363636364,27.0848484848485,69.7727272727273,64.4357575757576,0.926727272727273
"37","5els",12.4,17.6,72.62,57,0.73
"38","5Hunters",25.72,33.56,67.748,64.364,0.8732
"39","5ks",32,36.4,69.4,73.3,0.962
"40","5orgless",34.7478260869565,35.5739130434783,74.064347826087,68.024347826087,1.03617391304348
