"","team","mean.kill.x","mean.death.x","mean.adr.x","mean.rating.x","mean.kill.y","mean.death.y","mean.adr.y","mean.rating.y","mean.kill.x.x","mean.death.x.x","mean.adr.x.x","mean.rating.x.x","mean.kill.y.y","mean.death.y.y","mean.adr.y.y","mean.rating.y.y","mean.kill","mean.death","mean.adr","mean.rating"
"1","-0_o-",21,33,58.8,0.75,27,35,75.4,0.75,23,37,65.9,0.74,21,35,59.7,0.67,18,36,61.7,0.55
"2","/dab/",30,20,114.2,1.67,29,21,113.1,1.52,22.5,14.5,84.85,1.325,19.5,16.5,89.4,1.275,23,22,76.1,1.05
"3",":thinking:",61,58,85.9,1.12,52,49,76.1,1.09,54,54,70,1.08,51,55,72.8,0.97,37,62,60.8,0.72
"4","100 Thieves",45.4758620689655,39.5862068965517,80.5420689655172,1.15468965517241,45.3034482758621,44.1862068965517,77.7793103448276,1.11310344827586,43.4413793103448,41.7862068965517,72.2524137931034,1.07365517241379,38.9103448275862,40.5724137931035,71.5827586206897,1.04779310344828,41.2689655172414,43.1931034482759,70.7620689655172,1.00503448275862
"5","100PG",45,38.8571428571429,82.1857142857143,1.18714285714286,44.5555555555556,44.7407407407407,80.3296296296296,1.08074074074074,42.4736842105263,41.0526315789474,71.2842105263158,1.06578947368421,43.8125,47.4375,74.5375,1.02,42.15,44.65,75.215,0.988
"6","1337HUANIA",67,54.1428571428571,85.3642857142857,1.23214285714286,66.3076923076923,52.4615384615385,82.4461538461538,1.20153846153846,63.2,53.2,82.32,1.166,53.6551724137931,50.6206896551724,84.6310344827586,1.11827586206897,51.1379310344828,50.0689655172414,75.2965517241379,1.06344827586207
"7","13th Hour",31,38,79.4,0.87,22,38,65.8,0.65,18,41,62.3,0.6,22,42,50.2,0.55,19,41,43.7,0.47
"8","140 Years of Exp",35.3333333333333,29,86.5,1.09666666666667,19.6666666666667,30,61.6666666666667,0.773333333333333,13.6666666666667,30.3333333333333,50.4333333333333,0.63,18.3333333333333,29.6666666666667,49.1333333333333,0.56,15.3333333333333,32.6666666666667,55.4333333333333,0.51
"9","16yotalents",50,40,88.6,1.21,38,45,85.2,1.11,44,36,69.8,1.11,41,41,69.2,0.96,32,37,66.4,0.96
"10","1820HT",57,45.6,92.42,1.23,39.6,46,72,0.962,39,48.2,64.7,0.868,38,50.2,63.08,0.82,31.6,49.4,56.68,0.75
"11","1ADL",63.2,49,89.74,1.316,62.6,53,90.18,1.19,51.8,53.6,79.28,1.048,54.2,52.2,69.94,1.036,40.8,52.8,55.68,0.812
"12","1hp",23.6,23.2,79.06,1.086,22.4,27.4,81.16,0.99,21.6,25.6,69.12,0.964,20,25,64.08,0.866,17.4,27.4,67.42,0.78
"13","1WIN",53.6153846153846,36.7692307692308,84.8769230769231,1.34769230769231,42,33.5,90.05,1.29,47.5384615384615,38.9230769230769,83.8461538461538,1.20769230769231,38,34.5,76.9,1.13,42.1212121212121,38.1969696969697,71.0727272727273,1.07348484848485
"14","2019",75,54,99.3,1.35,47.5833333333333,44.0833333333333,84.7333333333333,1.14333333333333,43.25,38.0833333333333,72.7666666666667,1.12166666666667,44.25,39.0833333333333,77.3333333333333,1.11416666666667,39.75,37.0833333333333,70.1666666666667,1.06416666666667
"15","2115",50,32,96.3,1.52,45,35,81.1,1.18,46.8888888888889,45.2222222222222,77.2333333333333,1.05333333333333,52,48.5714285714286,77.8,1.04571428571429,43.4285714285714,49,69.1571428571429,0.925714285714286
"16","2333",46.5,43,81.25,1.135,43.5,41,76.15,1.075,41.5,42.5,77.1,1.07,39.5,39.5,71.15,0.98,31,46.5,63.35,0.84
"17","24BHB",31.625,32.25,85.4,1.13625,67,56,72.8,1.11,33.1428571428571,35.6428571428571,72.85,0.985714285714286,30,32.6666666666667,81.6666666666667,0.963333333333333,29.7857142857143,34.5714285714286,68.6071428571429,0.896428571428571
"18","24SJU",20,14,91.1,1.39,18,10,88.6,1.375,17.5,13,89.65,1.355,14,14,83.05,1.175,13,14.5,70.8,0.965
"19","26 Rising",39,40,91.7,1.17,31,39,67.8,0.94,31,38,58,0.89,32,43,65.5,0.83,26,40,59.9,0.7
"20","2990",50.4516129032258,45.6451612903226,79.0161290322581,1.08516129032258,32.7333333333333,31.5333333333333,72.3266666666667,1.078,39.5957446808511,42.4468085106383,77.5574468085106,1.03574468085106,41.2978723404255,43.2127659574468,77.1659574468085,1.03531914893617,39.7272727272727,47.8181818181818,66.6636363636364,0.907272727272727
"21","2anosOLD",21.5,16.5,82.65,1.29,18,18,70.4,0.985,17,19.5,76.85,0.945,14.5,20,61.7,0.85,15,20,59.25,0.785
